 index   name  length   s     betx   alfx   phixetax   etaxp  betz   alfz   phiz   etaz   etazp    x      xp     z      zp
 373      SD7   0.44 140.04   0.77  -1.05   7.30 -43.58  -3.85  17.15  -0.66   4.11   0.00   0.00  -0.00  -0.00   0.00   0.00
 374       Q9   0.32 140.48   2.23  -2.26   7.36 -45.28  -3.85  17.75  -0.70   4.11   0.00   0.00  -0.00  -0.00   0.00   0.00
 375      SD8   0.20 140.80   4.55  -5.42   7.37 -50.52 -29.37  15.26   8.03   4.12   0.00   0.00  -0.00  -0.00   0.00   0.00
 376       S9   0.00 141.00   6.99  -6.76   7.38 -56.39 -29.37  12.22   7.17   4.12   0.00   0.00  -0.00  -0.00   0.00   0.00
 377      COR   0.00 141.00   6.99  -6.75   7.38 -56.39 -29.36  12.22   7.17   4.12   0.00   0.00  -0.00  -0.00   0.00   0.00
 378      BPM   0.00 141.00   6.99  -6.75   7.38 -56.39 -29.36  12.22   7.17   4.12   0.00   0.00  -0.00  -0.00   0.00   0.00
 379      SD9   0.48 141.00   6.99  -6.75   7.38 -56.39 -29.36  12.22   7.17   4.12   0.00   0.00  -0.00  -0.00   0.00   0.00
 380      Q10   0.32 141.48  14.94  -9.93   7.39 -70.38 -29.36   6.37   5.13   4.13   0.00   0.00  -0.00  -0.00   0.00   0.00
 381      SD8   0.20 141.80  18.31   0.11   7.39 -72.51  16.26   4.46   1.21   4.14   0.00   0.00  -0.00   0.00   0.00   0.00
 382      S10   0.00 142.00  18.27   0.10   7.39 -69.26  16.26   4.00   1.10   4.15   0.00   0.00  -0.00   0.00   0.00   0.00
 383      COR   0.00 142.00  18.27   0.09   7.39 -69.26  16.25   4.00   1.10   4.15   0.00   0.00  -0.00   0.00   0.00   0.00
 384     FCOR   0.00 142.00  18.27   0.09   7.39 -69.26   1.05   4.00   1.10   4.15   0.00   0.00  -0.00   0.00   0.00   0.00
 385      BPM   0.00 142.00  18.27   0.09   7.39 -69.26   1.05   4.00   1.10   4.15   0.00   0.00  -0.00   0.00   0.00   0.00
 386     SDAC   1.90 142.00  18.27   0.09   7.39 -69.26   1.05   4.00   1.10   4.15   0.00   0.00  -0.00   0.00   0.00   0.00
 387     SDAC   1.90 143.90  18.11  -0.01   7.41 -67.27   1.05   1.81   0.05   4.27   0.00   0.00  -0.00   0.00   0.00   0.00
 388      BPM   0.00 145.81  18.35  -0.12   7.43 -65.27   1.05   3.64  -1.01   4.40   0.00   0.00  -0.00   0.00   0.00   0.00
 389     FCOR   0.00 145.81  18.35  -0.12   7.43 -65.27   1.05   3.64  -1.01   4.40   0.00   0.00  -0.00   0.00   0.00   0.00
 390      S10   0.00 145.81  18.35  -0.12   7.43 -65.27   1.05   3.64  -1.01   4.40   0.00   0.00  -0.00   0.00   0.00   0.00
 391      COR   0.00 145.81  18.35  -0.12   7.43 -65.27   1.04   3.64  -1.01   4.40   0.00   0.00  -0.00   0.00   0.00   0.00
 392      SD8   0.20 145.81  18.35  -0.12   7.43 -65.27 -14.16   3.64  -1.01   4.40   0.00   0.00  -0.00  -0.00   0.00   0.00
 393      Q10   0.32 146.01  18.40  -0.13   7.43 -68.10 -14.16   4.06  -1.12   4.41   0.00   0.00  -0.00  -0.00   0.00   0.00
 394      SD9   0.48 146.33  15.02   9.97   7.43 -65.75  28.58   5.81  -4.71   4.42   0.00   0.00  -0.00   0.00   0.00   0.00
 395      BPM   0.00 146.80   7.04   6.79   7.44 -52.14  28.58  11.20  -6.60   4.43   0.00   0.00  -0.00   0.00   0.00   0.00
 396       S9   0.00 146.80   7.04   6.79   7.44 -52.14  28.58  11.20  -6.60   4.43   0.00   0.00  -0.00   0.00   0.00   0.00
 397      COR   0.00 146.80   7.04   6.79   7.44 -52.14  28.59  11.20  -6.61   4.43   0.00   0.00  -0.00   0.00   0.00   0.00
 398      SD8   0.20 146.80   7.04   6.79   7.44 -52.14  28.59  11.20  -6.61   4.43   0.00   0.00  -0.00   0.00   0.00   0.00
 399       Q9   0.32 147.00   4.59   5.45   7.44 -46.42  28.59  14.00  -7.40   4.43   0.00   0.00  -0.00   0.00   0.00   0.00
 400      SD7   0.44 147.32   2.26   2.27   7.46 -41.08   5.28  16.31   0.60   4.44   0.00   0.00  -0.00   0.00   0.00   0.00
 401     BEND   1.05 147.76   0.78   1.07   7.51 -38.76   5.28  15.80   0.57   4.44   0.00   0.00  -0.00   0.00   0.00   0.00
 402      SD7   0.44 148.82   1.54  -1.79   7.81 -33.14   5.47  14.11   1.00   4.45   0.00   0.00  -0.00   0.00   0.00   0.00
 403       Q6   0.32 149.26   3.64  -2.99   7.84 -30.73   5.47  13.26   0.94   4.46   0.00   0.00  -0.00   0.00   0.00   0.00
 404      SD5   0.20 149.58   6.43  -6.05   7.85 -30.73  -5.42  11.26   5.08   4.46   0.00   0.00  -0.00  -0.00   0.00   0.00
 405       S7   0.00 149.78   9.08  -7.22   7.86 -31.81  -5.42   9.32   4.60   4.47   0.00   0.00  -0.00  -0.00   0.00   0.00
 406      COR   0.00 149.78   9.08  -7.22   7.86 -31.81  -5.42   9.32   4.60   4.47   0.00   0.00  -0.00  -0.00   0.00   0.00
 407      SD4   0.39 149.78   9.08  -7.22   7.86 -31.81  -5.42   9.32   4.60   4.47   0.00   0.00  -0.00  -0.00   0.00   0.00
 408      BPM   0.00 150.17  15.60  -9.50   7.86 -33.92  -5.42   6.09   3.67   4.47   0.00   0.00  -0.00  -0.00   0.00   0.00
 409       Q7   0.46 150.17  15.60  -9.50   7.86 -33.92  -5.42   6.09   3.67   4.47   0.00   0.00  -0.00  -0.00   0.00   0.00
 410      SD3   0.20 150.63  16.67   7.56   7.87 -28.57  27.76   5.47  -2.12   4.49   0.00   0.00  -0.00   0.00   0.00   0.00
 411       S8   0.00 150.83  13.78   6.86   7.87 -23.02  27.76   6.36  -2.33   4.49   0.00   0.00  -0.00   0.00   0.00   0.00
 412      COR   0.00 150.83  13.78   6.86   7.87 -23.02  27.76   6.36  -2.32   4.49   0.00   0.00  -0.00   0.00   0.00   0.00
 413      SD2   0.39 150.83  13.78   6.86   7.87 -23.02   8.14   6.36  -2.32   4.49   0.00   0.00  -0.00   0.00   0.00   0.00
 414       Q8   0.32 151.22   8.96   5.50   7.87 -19.85   8.14   8.33  -2.72   4.50   0.00   0.00  -0.00   0.00   0.00   0.00
 415     FCOR   0.00 151.54   7.05   0.81   7.88 -18.92  -2.27   8.60   1.92   4.51   0.00   0.00  -0.00  -0.00   0.00   0.00
 416      BPM   0.00 151.54   7.05   0.81   7.88 -18.92  -2.27   8.60   1.92   4.51   0.00   0.00  -0.00  -0.00   0.00   0.00
 417     SD13   3.48 151.54   7.05   0.81   7.88 -18.92  -2.27   8.60   1.92   4.51   0.00   0.00  -0.00  -0.00   0.00   0.00
 418     SD13   3.48 155.02   4.24  -0.01   7.99 -26.83  -2.27   1.84   0.02   4.68   0.00   0.00  -0.00  -0.00   0.00   0.00
 419      BPM   0.00 158.50   7.15  -0.83   8.10 -34.73  -2.27   8.28  -1.87   4.85   0.00   0.00  -0.00  -0.00   0.00   0.00
 420     FCOR   0.00 158.50   7.15  -0.83   8.10 -34.73  -2.27   8.28  -1.87   4.85   0.00   0.00  -0.00  -0.00   0.00   0.00
 421       Q8   0.32 158.50   7.15  -0.83   8.10 -34.73  -2.27   8.28  -1.87   4.85   0.00   0.00  -0.00  -0.00   0.00   0.00
 422      SD2   0.39 158.82   9.09  -5.58   8.11 -38.55 -21.94   8.03   2.59   4.86   0.00   0.00  -0.00  -0.00   0.00   0.00
 423       S6   0.00 159.21  13.98  -6.96   8.11 -47.11 -21.94   6.16   2.22   4.87   0.00   0.00  -0.00  -0.00   0.00   0.00
 424      COR   0.00 159.21  13.98  -6.97   8.11 -47.11 -21.95   6.16   2.22   4.87   0.00   0.00  -0.00  -0.00   0.00   0.00
 425      SD3   0.20 159.21  13.98  -6.97   8.11 -47.11 -40.32   6.16   2.22   4.87   0.00   0.00  -0.00  -0.00   0.00   0.00
 426       Q7   0.46 159.41  16.91  -7.68   8.11 -55.17 -40.32   5.31   2.03   4.87   0.00   0.00  -0.00  -0.00   0.00   0.00
 427      BPM   0.00 159.87  15.84   9.64   8.12 -59.86  20.74   5.95  -3.62   4.89   0.00   0.00  -0.00   0.00   0.00   0.00
 428      SD4   0.39 159.87  15.84   9.64   8.12 -59.86  20.74   5.95  -3.62   4.89   0.00   0.00  -0.00   0.00   0.00   0.00
 429       S5   0.00 160.26   9.22   7.33   8.12 -51.77  20.74   9.14  -4.55   4.90   0.00   0.00  -0.00   0.00   0.00   0.00
 430      COR   0.00 160.26   9.22   7.33   8.12 -51.77  20.75   9.14  -4.55   4.90   0.00   0.00  -0.00   0.00   0.00   0.00
 431      SD5   0.20 160.26   9.22   7.33   8.12 -51.77  20.75   9.14  -4.55   4.90   0.00   0.00  -0.00   0.00   0.00   0.00
 432       Q6   0.32 160.46   6.52   6.14   8.13 -47.62  20.75  11.05  -5.03   4.90   0.00   0.00  -0.00   0.00   0.00   0.00
 433      SD7   0.44 160.78   3.69   3.04   8.14 -43.61   4.58  13.05  -0.97   4.90   0.00   0.00  -0.00   0.00   0.00   0.00
 434     BEND   1.05 161.22   1.56   1.82   8.17 -41.59   4.58  13.93  -1.03   4.91   0.00   0.00  -0.00   0.00   0.00   0.00
 435      SD7   0.44 162.27   0.78  -1.08   8.47 -36.69   4.78  15.69  -0.61   4.92   0.00   0.00  -0.00   0.00   0.00   0.00
 436       Q4   0.32 162.71   2.27  -2.30   8.52 -34.59   4.78  16.24  -0.65   4.92   0.00   0.00  -0.00   0.00   0.00   0.00
 437      SD8   0.20 163.03   4.52  -5.07   8.54 -35.52 -10.68  14.42   6.08   4.93   0.00   0.00  -0.00  -0.00   0.00   0.00
 438       S3   0.00 163.23   6.78  -6.25   8.54 -37.66 -10.68  12.09   5.55   4.93   0.00   0.00  -0.00  -0.00   0.00   0.00
 439      COR   0.00 163.23   6.78  -6.25   8.54 -37.66 -10.68  12.09   5.55   4.93   0.00   0.00  -0.00  -0.00   0.00   0.00
 440      BPM   0.00 163.23   6.78  -6.25   8.54 -37.66 -10.68  12.09   5.55   4.93   0.00   0.00  -0.00  -0.00   0.00   0.00
 441      SD9   0.48 163.23   6.78  -6.25   8.54 -37.66 -10.68  12.09   5.55   4.93   0.00   0.00  -0.00  -0.00   0.00   0.00
 442       Q5   0.32 163.71  14.08  -9.07   8.55 -42.75 -10.68   7.40   4.30   4.94   0.00   0.00  -0.00  -0.00   0.00   0.00
 443     SD10   0.47 164.03  17.17   0.03   8.56 -41.98  15.38   6.09   0.04   4.95   0.00   0.00  -0.00   0.00   0.00   0.00
 444      BPM   0.00 164.50  17.16   0.00   8.56 -34.75  15.38   6.09  -0.04   4.96   0.00   0.00  -0.00   0.00   0.00   0.00
 445       S4   0.00 164.50  17.16   0.00   8.56 -34.75  15.38   6.09  -0.04   4.96   0.00   0.00  -0.00   0.00   0.00   0.00
 446      COR   0.00 164.50  17.16  -0.00   8.56 -34.75  15.38   6.09  -0.04   4.96   0.00   0.00  -0.00   0.00   0.00   0.00
 447     SD12   0.47 164.50  17.16  -0.00   8.56 -34.75 -17.27   6.09  -0.04   4.96   0.00   0.00  -0.00  -0.00   0.00   0.00
 448       Q5   0.32 164.97  17.17  -0.03   8.56 -42.87 -17.27   6.16  -0.11   4.97   0.00   0.00  -0.00  -0.00   0.00   0.00
 449      SD9   0.48 165.29  14.08   9.07   8.57 -44.13   9.49   7.54  -4.45   4.98   0.00   0.00  -0.00   0.00   0.00   0.00
 450      BPM   0.00 165.77   6.78   6.25   8.58 -39.61   9.49  12.40  -5.77   4.99   0.00   0.00  -0.00   0.00   0.00   0.00
 451       S3   0.00 165.77   6.78   6.25   8.58 -39.61   9.49  12.40  -5.77   4.99   0.00   0.00  -0.00   0.00   0.00   0.00
 452      COR   0.00 165.77   6.78   6.25   8.58 -39.61   9.49  12.40  -5.77   4.99   0.00   0.00  -0.00   0.00   0.00   0.00
 453      SD8   0.20 165.77   6.78   6.25   8.58 -39.61   9.49  12.40  -5.77   4.99   0.00   0.00  -0.00   0.00   0.00   0.00
 454       Q4   0.32 165.97   4.52   5.07   8.58 -37.71   9.49  14.82  -6.32   4.99   0.00   0.00  -0.00   0.00   0.00   0.00
 455      SD7   0.44 166.29   2.26   2.30   8.60 -37.33  -7.05  16.74   0.60   4.99   0.00   0.00  -0.00  -0.00   0.00   0.00
 456     BEND   1.05 166.73   0.78   1.08   8.65 -40.43  -7.05  16.23   0.56   5.00   0.00   0.00  -0.00  -0.00   0.00   0.00
 457      SD6   0.79 167.78   1.56  -1.82   8.95 -47.70  -6.85  14.54   1.01   5.01   0.00   0.00  -0.00  -0.00   0.00   0.00
 458       S2   0.00 168.57   6.17  -4.01   8.99 -53.11  -6.85  13.02   0.90   5.02   0.00   0.00  -0.00  -0.00   0.00   0.00
 459      COR   0.00 168.57   6.17  -4.01   8.99 -53.11  -6.84  13.02   0.90   5.02   0.00   0.00  -0.00  -0.00   0.00   0.00
 460      SD5   0.20 168.57   6.17  -4.01   8.99 -53.11  -6.84  13.02   0.90   5.02   0.00   0.00  -0.00  -0.00   0.00   0.00
 461       Q3   0.32 168.77   7.89  -4.57   9.00 -54.48  -6.84  12.67   0.87   5.02   0.00   0.00  -0.00  -0.00   0.00   0.00
 462     SD14   0.59 169.09  11.84  -8.08   9.00 -58.71 -19.75  11.25   3.47   5.02   0.00   0.00  -0.00  -0.00   0.00   0.00
 463      BPM   0.00 169.68  23.33 -11.39   9.01 -70.36 -19.75   7.55   2.79   5.03   0.00   0.00  -0.00  -0.00   0.00   0.00
 464       Q2   0.46 169.68  23.33 -11.39   9.01 -70.36 -19.75   7.55   2.79   5.03   0.00   0.00  -0.00  -0.00   0.00   0.00
 465      SD3   0.20 170.14  25.03   8.15   9.01 -66.55  35.82   7.68  -3.10   5.04   0.00   0.00  -0.00   0.00   0.00   0.00
 466       S1   0.00 170.34  21.88   7.61   9.01 -59.38  35.82   8.98  -3.38   5.05   0.00   0.00  -0.00   0.00   0.00   0.00
 467      COR   0.00 170.34  21.88   7.61   9.01 -59.38  35.82   8.98  -3.37   5.05   0.00   0.00  -0.00   0.00   0.00   0.00
 468      SD2   0.39 170.34  21.88   7.61   9.01 -59.38  18.15   8.98  -3.37   5.05   0.00   0.00  -0.00   0.00   0.00   0.00
 469       Q1   0.32 170.73  16.35   6.56   9.02 -52.31  18.15  11.82  -3.91   5.05   0.00   0.00  -0.00   0.00   0.00   0.00
 470     FCOR   0.00 171.05  14.16   0.56   9.02 -49.59  -0.99  12.88   0.72   5.06   0.00   0.00  -0.00  -0.00   0.00   0.00
 471      BPM   0.00 171.05  14.16   0.56   9.02 -49.59  -0.99  12.88   0.72   5.06   0.00   0.00  -0.00  -0.00   0.00   0.00
 472      SD1   6.00 171.05  14.16   0.56   9.02 -49.59  -0.99  12.88   0.72   5.06   0.00   0.00  -0.00  -0.00   0.00   0.00
 473    SECT3   0.00 177.05  10.75   0.01   9.10 -55.56  -0.99   8.45   0.01   5.15   0.00   0.00  -0.00  -0.00   0.00   0.00
 474      SD1   6.00 177.05  10.75   0.01   9.10 -55.56  -0.99   8.45   0.01   5.15   0.00   0.00  -0.00  -0.00   0.00   0.00
 475      BPM   0.00 183.05  14.04  -0.55   9.18 -61.52  -0.99  12.54  -0.70   5.25   0.00   0.00  -0.00  -0.00   0.00   0.00
 476     FCOR   0.00 183.05  14.04  -0.55   9.18 -61.52  -0.99  12.54  -0.70   5.25   0.00   0.00  -0.00  -0.00   0.00   0.00
 477       Q1   0.32 183.05  14.04  -0.55   9.18 -61.52  -0.99  12.54  -0.70   5.25   0.00   0.00  -0.00  -0.00   0.00   0.00
 478      SD2   0.39 183.37  16.21  -6.50   9.18 -65.62 -24.88  11.50   3.81   5.26   0.00   0.00  -0.00  -0.00   0.00   0.00
 479       S1   0.00 183.76  21.68  -7.54   9.19 -75.32 -24.88   8.73   3.29   5.26   0.00   0.00  -0.00  -0.00   0.00   0.00
 480      COR   0.00 183.76  21.68  -7.54   9.19 -75.32 -24.89   8.73   3.29   5.26   0.00   0.00  -0.00  -0.00   0.00   0.00
 481      SD3   0.20 183.76  21.68  -7.54   9.19 -75.32 -42.56   8.73   3.29   5.26   0.00   0.00  -0.00  -0.00   0.00   0.00
 482       Q2   0.46 183.96  24.80  -8.07   9.19 -83.84 -42.56   7.47   3.02   5.27   0.00   0.00  -0.00  -0.00   0.00   0.00
 483      BPM   0.00 184.42  23.12  11.29   9.19 -87.53  27.00   7.34  -2.71   5.28   0.00   0.00  -0.00   0.00   0.00   0.00
 484     SD14   0.59 184.42  23.12  11.29   9.19 -87.53  27.00   7.34  -2.71   5.28   0.00   0.00  -0.00   0.00   0.00   0.00
 485       Q3   0.32 185.01  11.73   8.01   9.20 -71.60  27.00  10.93  -3.38   5.29   0.00   0.00  -0.00   0.00   0.00   0.00
 486      SD5   0.20 185.33   7.81   4.52   9.20 -65.49  11.36  12.31  -0.85   5.29   0.00   0.00  -0.00   0.00   0.00   0.00
 487       S2   0.00 185.53   6.11   3.97   9.21 -63.22  11.36  12.66  -0.88   5.30   0.00   0.00  -0.00   0.00   0.00   0.00
 488      COR   0.00 185.53   6.11   3.98   9.21 -63.22  11.38  12.66  -0.89   5.30   0.00   0.00  -0.00   0.00   0.00   0.00
 489      SD6   0.79 185.53   6.11   3.98   9.21 -63.22  11.38  12.66  -0.89   5.30   0.00   0.00  -0.00   0.00   0.00   0.00
 490     BEND   1.05 186.32   1.54   1.80   9.25 -54.23  11.38  14.15  -1.00   5.31   0.00   0.00  -0.00   0.00   0.00   0.00
 491      SD7   0.44 187.37   0.78  -1.08   9.55 -42.23  11.58  15.82  -0.56   5.32   0.00   0.00  -0.00   0.00   0.00   0.00
 492       Q4   0.32 187.81   2.26  -2.29   9.60 -37.13  11.58  16.33  -0.60   5.32   0.00   0.00  -0.00   0.00   0.00   0.00
 493      SD8   0.20 188.13   4.50  -5.05   9.62 -36.02  -4.55  14.46   6.15   5.32   0.00   0.00  -0.00  -0.00   0.00   0.00
 494       S3   0.00 188.33   6.76  -6.22   9.63 -36.93  -4.55  12.11   5.61   5.33   0.00   0.00  -0.00  -0.00   0.00   0.00
 495      COR   0.00 188.33   6.76  -6.22   9.63 -36.93  -4.55  12.11   5.61   5.33   0.00   0.00  -0.00  -0.00   0.00   0.00
 496      BPM   0.00 188.33   6.76  -6.22   9.63 -36.93  -4.55  12.11   5.61   5.33   0.00   0.00  -0.00  -0.00   0.00   0.00
 497      SD9   0.48 188.33   6.76  -6.22   9.63 -36.93  -4.55  12.11   5.61   5.33   0.00   0.00  -0.00  -0.00   0.00   0.00
 498       Q5   0.32 188.81  14.02  -9.02   9.63 -39.10  -4.55   7.37   4.33   5.33   0.00   0.00  -0.00  -0.00   0.00   0.00
 499     SD12   0.47 189.13  17.09   0.04   9.64 -36.78  18.79   6.04   0.09   5.34   0.00   0.00  -0.00   0.00   0.00   0.00
 500       S4   0.00 189.60  17.07   0.01   9.64 -27.95  18.79   5.99   0.01   5.35   0.00   0.00  -0.00   0.00   0.00   0.00
 501      COR   0.00 189.60  17.07   0.01   9.64 -27.95  18.79   5.99   0.01   5.35   0.00   0.00  -0.00   0.00   0.00   0.00
 502      BPM   0.00 189.60  17.07   0.01   9.64 -27.95 -13.86   5.99   0.01   5.35   0.00   0.00  -0.00  -0.00   0.00   0.00
 503     SD10   0.47 189.60  17.07   0.01   9.64 -27.95 -13.86   5.99   0.01   5.35   0.00   0.00  -0.00  -0.00   0.00   0.00
 504       Q5   0.32 190.07  17.08  -0.02   9.65 -34.47 -13.86   6.01  -0.06   5.37   0.00   0.00  -0.00  -0.00   0.00   0.00
 505      SD9   0.48 190.39  14.00   9.02   9.65 -35.47   7.65   7.32  -4.28   5.38   0.00   0.00  -0.00   0.00   0.00   0.00
 506      BPM   0.00 190.86   6.74   6.22   9.66 -31.83   7.65  11.99  -5.54   5.38   0.00   0.00  -0.00   0.00   0.00   0.00
 507       S3   0.00 190.86   6.74   6.22   9.66 -31.83   7.65  11.99  -5.54   5.38   0.00   0.00  -0.00   0.00   0.00   0.00
 508      COR   0.00 190.86   6.74   6.22   9.66 -31.83   7.66  11.99  -5.54   5.38   0.00   0.00  -0.00   0.00   0.00   0.00
 509      SD8   0.20 190.86   6.74   6.22   9.66 -31.83   7.66  11.99  -5.54   5.38   0.00   0.00  -0.00   0.00   0.00   0.00
 510       Q4   0.32 191.06   4.49   5.04   9.66 -30.30   7.66  14.31  -6.06   5.39   0.00   0.00  -0.00   0.00   0.00   0.00
 511      SD7   0.44 191.38   2.25   2.28   9.68 -29.98  -5.63  16.15   0.62   5.39   0.00   0.00  -0.00  -0.00   0.00   0.00
 512     BEND   1.05 191.82   0.77   1.07   9.73 -32.46  -5.63  15.62   0.58   5.39   0.00   0.00  -0.00  -0.00   0.00   0.00
 513      SD7   0.44 192.88   1.57  -1.83  10.03 -38.24  -5.44  13.92   1.00   5.40   0.00   0.00  -0.00  -0.00   0.00   0.00
 514       Q6   0.32 193.32   3.71  -3.04  10.06 -40.64  -5.44  13.07   0.94   5.41   0.00   0.00  -0.00  -0.00   0.00   0.00
 515      SD5   0.20 193.64   6.54  -6.15  10.07 -44.76 -20.57  11.09   5.02   5.41   0.00   0.00  -0.00  -0.00   0.00   0.00
 516       S5   0.00 193.84   9.24  -7.34  10.08 -48.87 -20.57   9.17   4.55   5.42   0.00   0.00  -0.00  -0.00   0.00   0.00
 517      COR   0.00 193.84   9.24  -7.34  10.08 -48.87 -20.56   9.17   4.54   5.42   0.00   0.00  -0.00  -0.00   0.00   0.00
 518      SD4   0.39 193.84   9.24  -7.34  10.08 -48.87 -20.56   9.17   4.54   5.42   0.00   0.00  -0.00  -0.00   0.00   0.00
 519      BPM   0.00 194.23  15.87  -9.65  10.08 -56.89 -20.56   5.99   3.62   5.43   0.00   0.00  -0.00  -0.00   0.00   0.00
 520       Q7   0.46 194.23  15.87  -9.65  10.08 -56.89 -20.56   5.99   3.62   5.43   0.00   0.00  -0.00  -0.00   0.00   0.00
 521      SD3   0.20 194.69  16.94   7.70  10.09 -52.80  37.67   5.37  -2.08   5.44   0.00   0.00  -0.00   0.00   0.00   0.00
 522       S6   0.00 194.89  14.00   6.99  10.09 -45.27  37.67   6.24  -2.27   5.44   0.00   0.00  -0.00   0.00   0.00   0.00
 523      COR   0.00 194.89  14.00   6.98  10.09 -45.27  37.66   6.24  -2.27   5.44   0.00   0.00  -0.00   0.00   0.00   0.00
 524      SD2   0.39 194.89  14.00   6.98  10.09 -45.27  19.29   6.24  -2.27   5.44   0.00   0.00  -0.00   0.00   0.00   0.00
 525       Q8   0.32 195.28   9.10   5.60  10.09 -37.74  19.29   8.17  -2.66   5.45   0.00   0.00  -0.00   0.00   0.00   0.00
 526     FCOR   0.00 195.60   7.15   0.84  10.10 -34.73  -0.17   8.43   1.88   5.46   0.00   0.00  -0.00  -0.00   0.00   0.00
 527      BPM   0.00 195.60   7.15   0.84  10.10 -34.73  -0.17   8.43   1.88   5.46   0.00   0.00  -0.00  -0.00   0.00   0.00
 528     SD13   3.48 195.60   7.15   0.84  10.10 -34.73  -0.17   8.43   1.88   5.46   0.00   0.00  -0.00  -0.00   0.00   0.00
 529     SD13   3.48 199.08   4.20   0.01  10.21 -35.32  -0.17   1.85   0.00   5.63   0.00   0.00  -0.00  -0.00   0.00   0.00
 530      BPM   0.00 202.56   7.02  -0.82  10.32 -35.91  -0.17   8.37  -1.88   5.80   0.00   0.00  -0.00  -0.00   0.00   0.00
 531     FCOR   0.00 202.56   7.02  -0.82  10.32 -35.91  -0.17   8.37  -1.88   5.80   0.00   0.00  -0.00  -0.00   0.00   0.00
 532       Q8   0.32 202.56   7.02  -0.82  10.32 -35.91  -0.17   8.37  -1.88   5.80   0.00   0.00  -0.00  -0.00   0.00   0.00
 533      SD2   0.39 202.88   8.94  -5.50  10.33 -39.14 -20.31   8.11   2.63   5.81   0.00   0.00  -0.00  -0.00   0.00   0.00
 534       S8   0.00 203.27  13.75  -6.86  10.33 -47.06 -20.31   6.21   2.25   5.82   0.00   0.00  -0.00  -0.00   0.00   0.00
 535      COR   0.00 203.27  13.75  -6.86  10.33 -47.06 -20.32   6.21   2.26   5.82   0.00   0.00  -0.00  -0.00   0.00   0.00
 536      SD3   0.20 203.27  13.75  -6.86  10.33 -47.06 -39.94   6.21   2.26   5.82   0.00   0.00  -0.00  -0.00   0.00   0.00
 537       Q7   0.46 203.47  16.64  -7.56  10.34 -55.05 -39.94   5.34   2.06   5.82   0.00   0.00  -0.00  -0.00   0.00   0.00
 538      BPM   0.00 203.93  15.59   9.48  10.34 -59.60  20.92   5.96  -3.61   5.84   0.00   0.00  -0.00   0.00   0.00   0.00
 539      SD4   0.39 203.93  15.59   9.48  10.34 -59.60  20.92   5.96  -3.61   5.84   0.00   0.00  -0.00   0.00   0.00   0.00
 540       S7   0.00 204.32   9.08   7.21  10.34 -51.45  20.92   9.14  -4.53   5.85   0.00   0.00  -0.00   0.00   0.00   0.00
 541      COR   0.00 204.32   9.08   7.21  10.34 -51.45  20.93   9.14  -4.54   5.85   0.00   0.00  -0.00   0.00   0.00   0.00
 542      SD5   0.20 204.32   9.08   7.21  10.34 -51.45  20.93   9.14  -4.54   5.85   0.00   0.00  -0.00   0.00   0.00   0.00
 543       Q6   0.32 204.52   6.43   6.04  10.35 -47.26  20.93  11.05  -5.01   5.85   0.00   0.00  -0.00   0.00   0.00   0.00
 544      SD7   0.44 204.84   3.65   2.99  10.36 -43.16   4.91  13.03  -0.95   5.85   0.00   0.00  -0.00   0.00   0.00   0.00
 545     BEND   1.05 205.28   1.55   1.79  10.39 -41.00   4.91  13.89  -1.01   5.86   0.00   0.00  -0.00   0.00   0.00   0.00
 546      SD7   0.44 206.33   0.78  -1.06  10.69 -35.77   5.10  15.60  -0.59   5.87   0.00   0.00  -0.00   0.00   0.00   0.00
 547       Q9   0.32 206.77   2.23  -2.25  10.74 -33.53   5.10  16.14  -0.62   5.88   0.00   0.00  -0.00   0.00   0.00   0.00
 548      SD8   0.20 207.09   4.55  -5.40  10.76 -34.79 -13.10  13.87   7.30   5.88   0.00   0.00  -0.00  -0.00   0.00   0.00
 549       S9   0.00 207.29   6.98  -6.73  10.76 -37.41 -13.10  11.10   6.52   5.88   0.00   0.00  -0.00  -0.00   0.00   0.00
 550      COR   0.00 207.29   6.98  -6.73  10.76 -37.41 -13.09  11.10   6.52   5.88   0.00   0.00  -0.00  -0.00   0.00   0.00
 551      BPM   0.00 207.29   6.98  -6.73  10.76 -37.41 -13.09  11.10   6.52   5.88   0.00   0.00  -0.00  -0.00   0.00   0.00
 552      SD9   0.48 207.29   6.98  -6.73  10.76 -37.41 -13.09  11.10   6.52   5.88   0.00   0.00  -0.00  -0.00   0.00   0.00
 553      Q10   0.32 207.77  14.89  -9.89  10.77 -43.64 -13.09   5.78   4.65   5.89   0.00   0.00  -0.00  -0.00   0.00   0.00
 554      SD8   0.20 208.09  18.24   0.12  10.77 -43.38  14.69   4.06   1.09   5.90   0.00   0.00  -0.00   0.00   0.00   0.00
 555      S10   0.00 208.29  18.19   0.11  10.78 -40.44  14.69   3.64   0.98   5.91   0.00   0.00  -0.00   0.00   0.00   0.00
 556      COR   0.00 208.29  18.19   0.11  10.78 -40.44  14.69   3.64   0.98   5.91   0.00   0.00  -0.00   0.00   0.00   0.00
 557     FCOR   0.00 208.29  18.19   0.11  10.78 -40.44  -0.51   3.64   0.98   5.91   0.00   0.00  -0.00  -0.00   0.00   0.00
 558      BPM   0.00 208.29  18.19   0.11  10.78 -40.44  -0.51   3.64   0.98   5.91   0.00   0.00  -0.00  -0.00   0.00   0.00
